species,canonicalName
Phlegmariurus carinatus (Desv.) Ching,Phlegmariurus carinatus
Phlegmariurus creber (Alderw.) A.R.Field & Bostock,Phlegmariurus creber
Phlegmariurus dalhousieanus (Spring) A.R.Field & Bostock,Phlegmariurus dalhousieanus
Phlegmariurus delbrueckii (Herter) A.R.Field & Bostock,Phlegmariurus delbrueckii
Phlegmariurus filiformis (Sw.) W.H.Wagner,Phlegmariurus filiformis
Phlegmariurus lockyeri (D.L.Jones & B.Gray) A.R.Field & Bostock,Phlegmariurus lockyeri
Phlegmariurus phlegmaria (L.) T.Sen & U.Sen,Phlegmariurus phlegmaria
Phlegmariurus squarrosus (G.Forst.) Á.Löve & D.Löve,Phlegmariurus squarrosus
Phlegmariurus tetrastichoides (A.R.Field & Bostock) A.R.Field & Bostock,Phlegmariurus tetrastichoides
Phlegmariurus varius (R.Br.) A.R.Field & Bostock,Phlegmariurus varius
Phylloglossum drummondii Kunze,Phylloglossum drummondii
Selaginella alutacia Spring,Selaginella alutacia
Selaginella andrewsii Jermy & J.S.Holmes,Selaginella andrewsii
Selaginella australiensis Baker,Selaginella australiensis
Selaginella brisbanensis F.M.Bailey,Selaginella brisbanensis
Selaginella ciliaris (Retz.) Spring,Selaginella ciliaris
Selaginella gracillima (Kunze) Spring ex Salomon,Selaginella gracillima
Selaginella longiciliata Hieron.,Selaginella longiciliata
Selaginella longipinna Warb.,Selaginella longipinna
Selaginella pygmaea (Kaulf.) Alston,Selaginella pygmaea
Selaginella uliginosa (Labill.) Spring,Selaginella uliginosa
Aciphylla glacialis (F.Muell.) Benth.,Aciphylla glacialis
Aciphylla simplicifolia (F.Muell.) Benth.,Aciphylla simplicifolia
Actinotus bellidioides (Hook.f.) Benth.,Actinotus bellidioides
Actinotus forsythii Maiden & Betche,Actinotus forsythii
Actinotus gibbonsii F.Muell.,Actinotus gibbonsii
Actinotus glomeratus Benth.,Actinotus glomeratus
Actinotus helianthi Labill.,Actinotus helianthi
Actinotus humilis (F.Muell. & Tate) Domin,Actinotus humilis
Actinotus laxus Keighery,Actinotus laxus
Actinotus leucocephalus Benth.,Actinotus leucocephalus
Actinotus minor (Sm.) Tratt.,Actinotus minor
Actinotus moorei F.Muell. ex Rodway,Actinotus moorei
Actinotus omnifertilis (F.Muell.) Benth.,Actinotus omnifertilis
Actinotus paddisonii R.T.Baker,Actinotus paddisonii
Actinotus periculosus Henwood,Actinotus periculosus
Actinotus repens Keighery ex Henwood,Actinotus repens
Actinotus rhomboideus (Turcz.) Benth.,Actinotus rhomboideus
Actinotus schwarzii F.Muell.,Actinotus schwarzii
Actinotus suffocatus (Hook.f.) Rodway,Actinotus suffocatus
Actinotus superbus O.H.Sarg.,Actinotus superbus
Actinotus whicheranus Keighery,Actinotus whicheranus
Anisotome procumbens (F.Muell.) C.J.Webb,Anisotome procumbens
Apium annuum P.S.Short,Apium annuum
Apium insulare P.S.Short,Apium insulare
Apium prostratum Labill. ex Vent.,Apium prostratum
Azorella fragosea (F.Muell.) Druce,Azorella fragosea
Azorella macquariensis Orchard,Azorella macquariensis
Azorella polaris (Hombr. & Jacquinot ex Hook.f.) G.M.Plunkett & A.N.Nicolas,Azorella polaris
Azorella selago Hook.f.,Azorella selago
Berula erecta (Huds.) Coville,Berula erecta
Brachyscias verecundus J.M.Hart & Henwood,Brachyscias verecundus
Centella asiatica (L.) Urb.,Centella asiatica
Centella cordifolia (Hook.f.) Nannf.,Centella cordifolia
Centella uniflora (Colenso) Nannf.,Centella uniflora
Chlaenosciadium gardneri C.Norman,Chlaenosciadium gardneri
"Daucus glochidiatus (Labill.) Fisch., C.A.Mey. & Ave-Lall.",Daucus glochidiatus
Dichosciadium ranunculaceum (F.Muell.) Domin,Dichosciadium ranunculaceum
Diplaspis cordifolia (Hook.) Hook.f.,Diplaspis cordifolia
Diplaspis hydrocotyle Hook.f.,Diplaspis hydrocotyle
Diplaspis nivis Van den Borre & Henwood,Diplaspis nivis
Eryngium expansum F.Muell. ex Klatt,Eryngium expansum
