group,species,link to obs
conifers,Araucaria heterophylla,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=127890&view=&page=
conifers,Callitris rhomboidea,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=128978&view=&page=
conifers,Agathis robusta,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=135362&view=&page=
conifers,Podocarpus elatus,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=135618&view=&page=
conifers,Araucaria bidwillii,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=136231&view=&page=
ferns,Nephrolepis cordifolia,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=48233&view=&page=
ferns,Cyathea cooperi,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=199389&view=&page=
ferns,Adiantum hispidulum,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=158020&view=&page=
ferns,Psilotum nudum,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=167517&view=&page=
ferns,Pteris tremula,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=78778&view=&page=
ferns,Doodia caudata,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=401378&view=&page=
ferns,Asplenium australasicum,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=83561&view=&page=
ferns,Christella dentata,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=369851&view=&page=
ferns,Dicksonia antarctica,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=143921&view=&page=
ferns,Microsorum pustulatum,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=64060&view=&page=
ferns,Blechnum minus,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=138032&view=&page=
ferns,Platycerium superbum,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=122311&view=&page=
ferns,Dennstaedtia davallioides,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=401306&view=&page=
monocots,Potamogeton crispus,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=78707&view=&page=
monocots,Alisma plantago-aquatica,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=60253&view=&page=
monocots,Alocasia brisbanensis,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=126965&view=&page=
monocots,Alocasia macrorrhizos,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=126165&view=&page=
monocots,Vallisneria australis,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=430570&view=&page=
monocots,Archontophoenix cunninghamiana,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=83634&view=&page=
monocots,Ptychosperma macarthurii,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=345560&view=&page=
monocots,Carpentaria acuminata,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=364575&view=&page=
monocots,Howea forsteriana,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=135400&view=&page=
monocots,Livistona drudei,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=365637&view=&page=
monocots,Howea belmoreana,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=365341&view=&page=
monocots,Crinum asiaticum,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=161124&view=&page=
monocots,Gastrodia sesamoides,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=337634&view=&page=
monocots,Doryanthes palmeri,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=410788&view=&page=
monocots,Dendrobium kingianum,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=83578&view=&page=
monocots,Dianella tasmanica,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=123238&view=&page=
monocots,Geitonoplesium cymosum,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=356110&view=&page=
monocots,Doryanthes excelsa,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=338334&view=&page=
monocots,Dianella bambusifolia,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=369569&view=&page=
monocots,Commelina diffusa,https://www.inaturalist.org/observations?introduced=true&not_in_place=6744&place_id=any&taxon_id=160818&view=&page=
