species,canonicalName,countries_present
Diuris leopardina D.L.Jones & R.J.Bates,Diuris leopardina,Australia
Baumea articulata (R.Br.) S.T.Blake,Baumea articulata,Australia_NA_New Zealand_New Caledonia_Papua New Guinea
Cycas angulata R.Br.,Cycas angulata,Australia_United States of America_NA
Cycas arenicola K.D.Hill,Cycas arenicola,Australia_United States of America_NA
Cycas armstrongii Miq.,Cycas armstrongii,Australia_United States of America_NA_unknown or invalid
Cycas arnhemica K.D.Hill,Cycas arnhemica,Australia
Cycas badensis K.D.Hill,Cycas badensis,Thailand_Australia
Cycas basaltica C.A.Gardner,Cycas basaltica,Australia_unknown or invalid_NA
Cycas brunnea K.D.Hill,Cycas brunnea,Australia
Cycas cairnsiana F.Muell.,Cycas cairnsiana,"Australia_Korea, Republic of_United States of America_NA_Croatia"
Cycas calcicola Maconochie,Cycas calcicola,NA
Cycas canalis K.D.Hill,Cycas canalis,NA
Cycas candida K.D.Hill,Cycas candida,NA
Cycas conferta Chirgwin,Cycas conferta,NA
Cycas couttsiana K.D.Hill,Cycas couttsiana,NA
Cycas cupida P.I.Forst.,Cycas cupida,NA
Cycas desolata P.I.Forst.,Cycas desolata,NA
Cycas distans P.I.Forst. & B.Gray,Cycas distans,NA
Cycas furfuracea W.Fitzg.,Cycas furfuracea,NA
Cycas lane-poolei C.A.Gardner,Cycas lane-poolei,NA
Cycas maconochiei Chirgwin & K.D.Hill,Cycas maconochiei,NA
Cycas media R.Br.,Cycas media,NA
Cycas megacarpa K.D.Hill,Cycas megacarpa,NA
Cycas ophiolitica K.D.Hill,Cycas ophiolitica,NA
Cycas orientis K.D.Hill,Cycas orientis,NA
Cycas platyphylla K.D.Hill,Cycas platyphylla,NA
Cycas pruinosa Maconochie,Cycas pruinosa,NA
Cycas rumphii Miq.,Cycas rumphii,NA
Cycas scratchleyana F.Muell.,Cycas scratchleyana,NA
Cycas semota K.D.Hill,Cycas semota,NA
Cycas silvestris K.D.Hill,Cycas silvestris,NA
Cycas terryana P.I.Forst.,Cycas terryana,NA
Cycas tuckeri K.D.Hill,Cycas tuckeri,NA
Cycas xipholepis K.D.Hill,Cycas xipholepis,NA
Cycas yorkiana K.D.Hill,Cycas yorkiana,NA
Bowenia serrulata (W.Bull) Chamb.,Bowenia serrulata,NA
Bowenia spectabilis Hook. ex Hook.f.,Bowenia spectabilis,NA
Lepidozamia hopei (W.Hill) Regel,Lepidozamia hopei,NA
Lepidozamia peroffskyana Regel,Lepidozamia peroffskyana,NA
Macrozamia cardiacensis P.I.Forst. & D.L.Jones,Macrozamia cardiacensis,NA
Macrozamia communis L.A.S.Johnson,Macrozamia communis,NA
Macrozamia concinna D.L.Jones,Macrozamia concinna,NA
Macrozamia conferta D.L.Jones & P.I.Forst.,Macrozamia conferta,NA
Macrozamia cranei D.L.Jones & P.I.Forst.,Macrozamia cranei,NA
Macrozamia crassifolia P.I.Forst. & D.L.Jones,Macrozamia crassifolia,NA
Macrozamia diplomera (F.Muell.) L.A.S.Johnson,Macrozamia diplomera,NA
Macrozamia douglasii W.Hill ex F.M.Bailey,Macrozamia douglasii,NA
Macrozamia dyeri (F.Muell.) C.A.Gardner,Macrozamia dyeri,NA
Macrozamia elegans K.D.Hill & D.L.Jones,Macrozamia elegans,NA
Macrozamia fawcettii C.Moore,Macrozamia fawcettii,NA
Macrozamia fearnsidei D.L.Jones,Macrozamia fearnsidei,NA
Macrozamia flexuosa C.Moore,Macrozamia flexuosa,NA
Macrozamia fraseri Miq.,Macrozamia fraseri,NA
Macrozamia glaucophylla D.L.Jones,Macrozamia glaucophylla,NA
Macrozamia heteromera C.Moore,Macrozamia heteromera,NA
Macrozamia humilis D.L.Jones,Macrozamia humilis,NA
Macrozamia johnsonii D.L.Jones & K.D.Hill,Macrozamia johnsonii,NA
Macrozamia lomandroides D.L.Jones,Macrozamia lomandroides,NA
Macrozamia longispina P.I.Forst. & D.L.Jones,Macrozamia longispina,NA
Macrozamia lucida L.A.S.Johnson,Macrozamia lucida,NA
Macrozamia macdonnellii (F.Muell. ex Miq.) F.Muell. ex A.DC.,Macrozamia macdonnellii,NA
Macrozamia machinii P.I.Forst. & D.L.Jones,Macrozamia machinii,NA
Macrozamia macleayi Miq.,Macrozamia macleayi,NA
Macrozamia miquelii (F.Muell.) A.DC.,Macrozamia miquelii,NA
Macrozamia montana K.D.Hill,Macrozamia montana,NA
Macrozamia moorei F.Muell.,Macrozamia moorei,NA
Macrozamia mountperriensis F.M.Bailey,Macrozamia mountperriensis,NA
Macrozamia occidua D.L.Jones & P.I.Forst.,Macrozamia occidua,NA
Macrozamia parcifolia P.I.Forst. & D.L.Jones,Macrozamia parcifolia,NA
Macrozamia pauli-guilielmi W.Hill & F.Muell.,Macrozamia pauli-guilielmi,NA
Macrozamia platyrhachis F.M.Bailey,Macrozamia platyrhachis,NA
Macrozamia plurinervia (L.A.S.Johnson) D.L.Jones,Macrozamia plurinervia,NA
Macrozamia polymorpha D.L.Jones,Macrozamia polymorpha,NA
Macrozamia reducta K.D.Hill & D.L.Jones,Macrozamia reducta,NA
Macrozamia riedlei (Fisch. ex Gaudich.) C.A.Gardner,Macrozamia riedlei,NA
Macrozamia secunda (Benth.) C.Moore,Macrozamia secunda,NA
Macrozamia serpentina D.L.Jones & P.I.Forst.,Macrozamia serpentina,NA
Macrozamia spiralis (Salisb.) Miq.,Macrozamia spiralis,NA
Macrozamia stenomera L.A.S.Johnson,Macrozamia stenomera,NA
Macrozamia viridis D.L.Jones & P.I.Forst.,Macrozamia viridis,NA
Isoetes attenuata C.R.Marsden & Chinnock,Isoetes attenuata,NA
Isoetes australis S.Williams,Isoetes australis,NA
Isoetes brevicula E.R.L.Johnson,Isoetes brevicula,NA
Isoetes caroli E.R.L.Johnson,Isoetes caroli,NA
Isoetes coromandelina L.f.,Isoetes coromandelina,NA
Isoetes cristata C.R.Marsden & Chinnock,Isoetes cristata,NA
Isoetes drummondii A.Braun,Isoetes drummondii,NA
Isoetes elatior F.Muell. ex A.Braun,Isoetes elatior,NA
Isoetes gunnii A.Braun,Isoetes gunnii,NA
Isoetes humilior F.Muell. ex A.Braun,Isoetes humilior,NA
Isoetes inflata E.R.L.Johnson,Isoetes inflata,NA
Isoetes mongerensis E.R.L.Johnson,Isoetes mongerensis,NA
Isoetes muelleri A.Braun,Isoetes muelleri,NA
Isoetes pusilla C.R.Marsden & Chinnock,Isoetes pusilla,NA
Isoetes tripus A.Braun,Isoetes tripus,NA
Huperzia australiana (Herter) Holub,Huperzia australiana,NA
Huperzia phlegmarioides (Gaudich.) Rothm.,Huperzia phlegmarioides,NA
Lycopodiella cernua (L.) Pic.Serm.,Lycopodiella cernua,NA
Lycopodiella diffusa (R.Br.) B.Øllg.,Lycopodiella diffusa,NA
Lycopodiella lateralis (R.Br.) B.Øllg.,Lycopodiella lateralis,NA
Lycopodiella limosa Chinnock,Lycopodiella limosa,NA
Lycopodiella serpentina (Kunze) B.Øllg.,Lycopodiella serpentina,NA
Lycopodium deuterodensum Herter,Lycopodium deuterodensum,NA
Lycopodium fastigiatum R.Br.,Lycopodium fastigiatum,NA
Lycopodium scariosum G.Forst.,Lycopodium scariosum,NA
Phlegmariurus carinatus (Desv.) Ching,Phlegmariurus carinatus,NA
