species,cc,endemic,endemic_prob
Abelmoschus ficulneus,AU_ET_LK_MG_PG_SD_TL,probable non-endemic--PG dist,probable non-endemic
Abelmoschus manihot,AU_BO_CN_ID_IN_JP_KR_MX_NC_OM_PE_PG_PH_RE_SV_TH_TL_TO_TW_US_WS,probable non-endemic--PG dist,probable non-endemic
Abelmoschus moschatus,AU_BJ_BR_CD_CN_CO_CR_EC_FJ_FM_GA_GH_GQ_GT_GY_HK_HN_ID_IN_JP_KH_LA_LK_MG_MX_MY_NC_NI_PA_PE_PF_PG_PH_SG_SR_TH_TW_US_VE_VN_WS,probable non-endemic--PG dist,probable non-endemic
Abrodictyum brassii,AU_PG,probable non-endemic--PG dist,probable non-endemic
Abrodictyum caudatum,AU_FJ_NC_PF_WS,probable non-endemic--NC dist,probable non-endemic
Abrodictyum obscurum,AU_BN_CN_ID_JP_LK_MY_PG_PH_SB_TH_TW_VN,probable non-endemic--PG dist,probable non-endemic
Abroma augusta,AU_ID_PG_TL,probable non-endemic--PG dist,probable non-endemic
Abrophyllum ornans,AU,def_endemic,def_endemic
Abrotanella forsteroides,AU,def_endemic,def_endemic
Abrotanella nivigena,AU_PG,probable non-endemic--PG dist,probable non-endemic
Abrotanella scapigera,AU,def_endemic,def_endemic
Abrus precatorius,AG_AU_BD_BF_BI_BJ_BL_BQ_BR_BS_BW_BZ_CD_CF_CG_CI_CM_CN_CO_CR_CU_CV_CW_DM_DO_EC_ET_FM_GA_GF_GH_GP_GU_GW_GY_HK_HN_HT_ID_IN_JM_JP_KE_KM_KN_LC_LK_LR_MF_MG_ML_MP_MU_MW_MX_MZ_NC_NE_NG_NI_PA_PE_PF_PG_PH_PR_RE_SC_SG_SN_ST_SX_SZ_TG_TH_TL_TW_TZ_US_VE_VI_VN_WF_WS_YT_ZA_ZM_ZW,probable non-endemic--PG dist,probable non-endemic
Abutilon amplum,AU,def_endemic,def_endemic
Abutilon auritum,AU_PG_RE_TL,probable non-endemic--PG dist,probable non-endemic
