species,cc,endemic,endemic_prob
Abutilon calliphyllum,AU,def_endemic,def_endemic
Abutilon cryptopetalum,AU,def_endemic,def_endemic
Abutilon fraseri,AU,def_endemic,def_endemic
Abutilon fugax,,,NA
Abutilon geranioides,AU,def_endemic,def_endemic
Abutilon halophilum,AU,def_endemic,def_endemic
Abutilon hannii,AU,def_endemic,def_endemic
Abutilon indicum,AU_CN_HK_ID_IN_JP_KH_MF_MG_MU_MV_MY_NC_NZ_PG_PH_RE_TH_TL_TW_TZ_US_VN_YT,probable non-endemic--PG dist,probable non-endemic
Abutilon julianae,,,NA
Abutilon lepidum,AU,def_endemic,def_endemic
Abutilon leucopetalum,AU,def_endemic,def_endemic
Abutilon macrum,AU,def_endemic,def_endemic
Abutilon malvifolium,AU,def_endemic,def_endemic
Abutilon micropetalum,AU,def_endemic,def_endemic
Abutilon nobile,AU,def_endemic,def_endemic
Abutilon otocarpum,AU,def_endemic,def_endemic
Abutilon oxycarpum,AU,def_endemic,def_endemic
Abutilon persicum,IN_TH,probable non-endemic--IN dist,probable non-endemic
Abutilon subviscosum,AU,def_endemic,def_endemic
Abutilon tubulosum,AU,def_endemic,def_endemic
Acacia abbatiana,,,NA
Acacia abbreviata,AU,def_endemic,def_endemic
Acacia abrupta,AU,def_endemic,def_endemic
Acacia acanthaster,AU,def_endemic,def_endemic
Acacia acanthoclada,AU,def_endemic,def_endemic
Acacia acellerata,AU,def_endemic,def_endemic
Acacia acinacea,AU_ZA,likely_endemic,likely_endemic
Acacia aciphylla,AU,def_endemic,def_endemic
Acacia acoma,AU,def_endemic,def_endemic
Acacia acradenia,AU,def_endemic,def_endemic
Acacia acrionastes,AU,def_endemic,def_endemic
Acacia acuaria,AU,def_endemic,def_endemic
Acacia aculeatissima,AU,def_endemic,def_endemic
Acacia aculeiformis,AU,def_endemic,def_endemic
Acacia acuminata,AU,def_endemic,def_endemic
Acacia acutata,AU,def_endemic,def_endemic
Acacia adenogonia,AU,def_endemic,def_endemic
Acacia adinophylla,AU,def_endemic,def_endemic
Acacia adjutrices,AU,def_endemic,def_endemic
Acacia adnata,AU,def_endemic,def_endemic
Acacia adoxa,AU,def_endemic,def_endemic
Acacia adsurgens,AU,def_endemic,def_endemic
Acacia adunca,AU_ZA,likely_endemic,likely_endemic
Acacia aemula,AU,def_endemic,def_endemic
Acacia aestivalis,AU,def_endemic,def_endemic
Acacia alata,AU,def_endemic,def_endemic
Acacia alaticaulis,AU,def_endemic,def_endemic
Acacia alcockii,AU,def_endemic,def_endemic
Acacia alexandri,AU,def_endemic,def_endemic
Acacia alleniana,AU,def_endemic,def_endemic
Acacia alpina,AU,def_endemic,def_endemic
Acacia amanda,AU,def_endemic,def_endemic
Acacia amblygona,AU,def_endemic,def_endemic
Acacia amblyophylla,AU,def_endemic,def_endemic
Acacia ammobia,AU,def_endemic,def_endemic
Acacia ammophila,AU,def_endemic,def_endemic
Acacia amoena,AU,def_endemic,def_endemic
Acacia ampliata,AU,def_endemic,def_endemic
Acacia ampliceps,AU_TL,possible non-endemic--TL dist,probable non-endemic
Acacia amputata,AU,def_endemic,def_endemic
Acacia amyctica,AU,def_endemic,def_endemic
Acacia anarthros,AU,def_endemic,def_endemic
Acacia anasilla,AU,def_endemic,def_endemic
Acacia anastema,AU,def_endemic,def_endemic
Acacia anastomosa,AU,def_endemic,def_endemic
Acacia anaticeps,AU,def_endemic,def_endemic
Acacia anceps,AU,def_endemic,def_endemic
Acacia ancistrocarpa,AU,def_endemic,def_endemic
Acacia ancistrophylla,AU,def_endemic,def_endemic
Acacia andrewsii,AU,def_endemic,def_endemic
Acacia aneura,AU,def_endemic,def_endemic
Acacia anfractuosa,AU,def_endemic,def_endemic
Acacia angusta,AU,def_endemic,def_endemic
Acacia anomala,AU,def_endemic,def_endemic
Acacia anserina,AU,def_endemic,def_endemic
Acacia anthochaera,AU,def_endemic,def_endemic
Acacia aphanoclada,AU,def_endemic,def_endemic
Acacia aphylla,AU,def_endemic,def_endemic
Acacia applanata,AU,def_endemic,def_endemic
Acacia aprepta,AU,def_endemic,def_endemic
Acacia aprica,AU,def_endemic,def_endemic
Acacia aptaneura,AU,def_endemic,def_endemic
Acacia arafurica,AU,def_endemic,def_endemic
Acacia araneosa,AU,def_endemic,def_endemic
Acacia arbiana,AU,def_endemic,def_endemic
Acacia arcuatilis,AU,def_endemic,def_endemic
Acacia areolata,AU,def_endemic,def_endemic
Acacia argentina,AU,def_endemic,def_endemic
Acacia argutifolia,AU,def_endemic,def_endemic
Acacia argyraea,AU,def_endemic,def_endemic
Acacia argyrodendron,AU,def_endemic,def_endemic
Acacia argyrophylla,AU,def_endemic,def_endemic
Acacia argyrotricha,AU,def_endemic,def_endemic
Acacia arida,AU,def_endemic,def_endemic
Acacia aristulata,AU,def_endemic,def_endemic
Acacia armillata,AU,def_endemic,def_endemic
Acacia armitii,AU,def_endemic,def_endemic
Acacia arrecta,AU,def_endemic,def_endemic
Acacia ascendens,AU,def_endemic,def_endemic
Acacia asepala,AU,def_endemic,def_endemic
Acacia ashbyae,AU,def_endemic,def_endemic
Acacia asparagoides,AU,def_endemic,def_endemic
Acacia aspera,AU,def_endemic,def_endemic
Acacia asperulacea,AU,def_endemic,def_endemic
Acacia assimilis,AU,def_endemic,def_endemic
Acacia ataxiphylla,AU,def_endemic,def_endemic
Acacia atkinsiana,AU,def_endemic,def_endemic
Acacia atopa,AU,def_endemic,def_endemic
Acacia atrox,AU,def_endemic,def_endemic
Acacia attenuata,AU,def_endemic,def_endemic
Acacia aulacocarpa,AU_BR_PG,probable non-endemic--PG dist,probable non-endemic
Acacia aulacophylla,AU,def_endemic,def_endemic
Acacia auratiflora,AU,def_endemic,def_endemic
Acacia aureocrinita,AU,def_endemic,def_endemic
Acacia auricoma,AU,def_endemic,def_endemic
Acacia auriculiformis,AU_BJ_BR_CD_CI_CN_CO_DO_FM_GA_GH_HK_ID_IN_LK_MX_MY_NG_PA_PG_PH_PW_RE_SB_SG_ST_TG_TH_TL_TW_US_VN_WS_YT,probable non-endemic--PG dist,probable non-endemic
Acacia auripila,AU,def_endemic,def_endemic
Acacia auronitens,AU,def_endemic,def_endemic
Acacia ausfeldii,AU,def_endemic,def_endemic
Acacia awestoniana,AU,def_endemic,def_endemic
Acacia axillaris,AU,def_endemic,def_endemic
Acacia ayersiana,AU,def_endemic,def_endemic
Acacia baeuerlenii,AU,def_endemic,def_endemic
Acacia baileyana,AR_AU_BO_CO_EC_ES_FR_JP_MX_NZ_US_ZA,possible non-endemic--NZ dist,probable non-endemic
Acacia bakeri,AU,def_endemic,def_endemic
Acacia balsamea,AU,def_endemic,def_endemic
Acacia bancroftiorum,AU,def_endemic,def_endemic
Acacia barakulensis,AU,def_endemic,def_endemic
Acacia barattensis,AU,def_endemic,def_endemic
Acacia barbinervis,AU,def_endemic,def_endemic
Acacia barrettiorum,AU,def_endemic,def_endemic
Acacia barringtonensis,AU,def_endemic,def_endemic
Acacia bartlei,AU,def_endemic,def_endemic
Acacia basedowii,AU,def_endemic,def_endemic
Acacia baueri,AU,def_endemic,def_endemic
Acacia baxteri,AU,def_endemic,def_endemic
Acacia beadleana,AU,def_endemic,def_endemic
Acacia beauverdiana,AU,def_endemic,def_endemic
Acacia beckleri,AU,def_endemic,def_endemic
Acacia benthamii,AU,def_endemic,def_endemic
Acacia besleyi,AU,def_endemic,def_endemic
Acacia betchei,AU,def_endemic,def_endemic
Acacia bidentata,AU,def_endemic,def_endemic
Acacia bifaria,AU,def_endemic,def_endemic
Acacia biflora,AU,def_endemic,def_endemic
Acacia binata,AU,def_endemic,def_endemic
Acacia binervata,AU_ZA,likely_endemic,likely_endemic
Acacia binervia,AU_BR,likely_endemic,likely_endemic
Acacia bivenosa,AU_US,likely_endemic,likely_endemic
Acacia blakei,AU,def_endemic,def_endemic
Acacia blakelyi,AU,def_endemic,def_endemic
Acacia blaxellii,AU,def_endemic,def_endemic
Acacia blayana,AU,def_endemic,def_endemic
Acacia boormanii,AU,def_endemic,def_endemic
Acacia botrydion,AU,def_endemic,def_endemic
Acacia brachybotrya,AU,def_endemic,def_endemic
Acacia brachyclada,AU,def_endemic,def_endemic
Acacia brachyphylla,AU,def_endemic,def_endemic
Acacia brachypoda,AU,def_endemic,def_endemic
Acacia brachystachya,AU,def_endemic,def_endemic
Acacia bracteolata,AU,def_endemic,def_endemic
Acacia brassii,AU,def_endemic,def_endemic
Acacia brockii,AU,def_endemic,def_endemic
Acacia bromilowiana,AU,def_endemic,def_endemic
Acacia browniana,AU,def_endemic,def_endemic
Acacia brownii,AU,def_endemic,def_endemic
Acacia brumalis,AU,def_endemic,def_endemic
Acacia brunioides,AU,def_endemic,def_endemic
Acacia bulgaensis,AU,def_endemic,def_endemic
Acacia burbidgeae,AU,def_endemic,def_endemic
Acacia burdekensis,AU,def_endemic,def_endemic
Acacia burkittii,AU,def_endemic,def_endemic
Acacia burrana,AU,def_endemic,def_endemic
Acacia burrowii,AU,def_endemic,def_endemic
Acacia burrowsiana,AU,def_endemic,def_endemic
Acacia buxifolia,AU,def_endemic,def_endemic
Acacia bynoeana,AU,def_endemic,def_endemic
Acacia caerulescens,AU,def_endemic,def_endemic
Acacia caesaneura,AU,def_endemic,def_endemic
Acacia caesariata,AU,def_endemic,def_endemic
Acacia caesiella,AU,def_endemic,def_endemic
Acacia calamifolia,AU,def_endemic,def_endemic
Acacia calantha,AU,def_endemic,def_endemic
Acacia calcarata,AU,def_endemic,def_endemic
Acacia calcicola,AU,def_endemic,def_endemic
Acacia calligera,AU,def_endemic,def_endemic
Acacia calyculata,AU,def_endemic,def_endemic
Acacia cambagei,AU,def_endemic,def_endemic
Acacia camptocarpa,AU,def_endemic,def_endemic
Acacia camptoclada,AU,def_endemic,def_endemic
Acacia campylophylla,AU,def_endemic,def_endemic
Acacia cana,AU,def_endemic,def_endemic
Acacia cangaiensis,AU,def_endemic,def_endemic
Acacia capillaris,AU,def_endemic,def_endemic
Acacia cardiophylla,AU,def_endemic,def_endemic
Acacia carens,AU,def_endemic,def_endemic
Acacia carneorum,AU,def_endemic,def_endemic
Acacia carnosula,AU,def_endemic,def_endemic
Acacia caroleae,AU,def_endemic,def_endemic
Acacia cassicula,AU,def_endemic,def_endemic
Acacia castanostegia,AU,def_endemic,def_endemic
Acacia cataractae,AU,def_endemic,def_endemic
Acacia catenulata,AU,def_endemic,def_endemic
Acacia cavealis,AU,def_endemic,def_endemic
Acacia cedroides,AU,def_endemic,def_endemic
Acacia celastrifolia,AU,def_endemic,def_endemic
Acacia celsa,AU,def_endemic,def_endemic
Acacia cerastes,AU,def_endemic,def_endemic
Acacia chalkeri,AU,def_endemic,def_endemic
Acacia chamaeleon,AU,def_endemic,def_endemic
Acacia chapmanii,AU,def_endemic,def_endemic
Acacia chartacea,AU,def_endemic,def_endemic
Acacia cheelii,AU,def_endemic,def_endemic
Acacia chinchillensis,AU,def_endemic,def_endemic
Acacia chippendalei,AU,def_endemic,def_endemic
Acacia chisholmii,AU,def_endemic,def_endemic
Acacia chrysella,AU,def_endemic,def_endemic
Acacia chrysocephala,AU,def_endemic,def_endemic
Acacia chrysochaeta,AU,def_endemic,def_endemic
Acacia chrysopoda,AU,def_endemic,def_endemic
Acacia chrysotricha,AU,def_endemic,def_endemic
Acacia cincinnata,AU,def_endemic,def_endemic
Acacia citrinoviridis,AU,def_endemic,def_endemic
Acacia citriodora,AU,def_endemic,def_endemic
Acacia clandullensis,AU,def_endemic,def_endemic
Acacia claviseta,AU,def_endemic,def_endemic
Acacia clelandii,AU,def_endemic,def_endemic
Acacia clunies-rossiae,AU,def_endemic,def_endemic
Acacia clydonophora,AU,def_endemic,def_endemic
Acacia coatesii,AU,def_endemic,def_endemic
Acacia cochlearis,AU,def_endemic,def_endemic
Acacia cochlocarpa,AU,def_endemic,def_endemic
Acacia cockertoniana,AU,def_endemic,def_endemic
Acacia cognata,AU_NZ,possible non-endemic--NZ dist,probable non-endemic
Acacia colei,AU,def_endemic,def_endemic
Acacia collegialis,AU,def_endemic,def_endemic
Acacia colletioides,AU,def_endemic,def_endemic
Acacia comans,AU,def_endemic,def_endemic
Acacia complanata,AU,def_endemic,def_endemic
Acacia concolorans,AU,def_endemic,def_endemic
Acacia concurrens,AU,def_endemic,def_endemic
Acacia conferta,AU,def_endemic,def_endemic
Acacia confluens,AU,def_endemic,def_endemic
Acacia congesta,AU,def_endemic,def_endemic
Acacia conjunctifolia,AU,def_endemic,def_endemic
Acacia conniana,AU,def_endemic,def_endemic
Acacia consanguinea,AU,def_endemic,def_endemic
Acacia consobrina,AU,def_endemic,def_endemic
Acacia conspersa,AU,def_endemic,def_endemic
Acacia constablei,AU,def_endemic,def_endemic
Acacia continua,AU,def_endemic,def_endemic
Acacia convallium,AU,def_endemic,def_endemic
Acacia coolgardiensis,AU,def_endemic,def_endemic
Acacia coriacea,AU,def_endemic,def_endemic
Acacia costata,AU,def_endemic,def_endemic
Acacia costiniana,AU,def_endemic,def_endemic
Acacia courtii,AU,def_endemic,def_endemic
Acacia covenyi,AU,def_endemic,def_endemic
Acacia cowaniana,AU,def_endemic,def_endemic
Acacia cowleana,AU,def_endemic,def_endemic
Acacia cracentis,AU,def_endemic,def_endemic
Acacia craspedocarpa,AU_US,likely_endemic,likely_endemic
Acacia crassa,AU,def_endemic,def_endemic
Acacia crassicarpa,AU_ID_PG,probable non-endemic--PG dist,probable non-endemic
Acacia crassistipula,AU,def_endemic,def_endemic
Acacia crassiuscula,AU,def_endemic,def_endemic
Acacia crassuloides,AU,def_endemic,def_endemic
Acacia cremiflora,AU,def_endemic,def_endemic
Acacia crenulata,AU,def_endemic,def_endemic
Acacia cretacea,AU,def_endemic,def_endemic
Acacia cretata,AU,def_endemic,def_endemic
Acacia crispula,AU,def_endemic,def_endemic
Acacia crombiei,AU,def_endemic,def_endemic
Acacia cultriformis,AU_ES_FR_US_ZA,possible endemic--strange dist,likely_endemic
Acacia cummingiana,AU,def_endemic,def_endemic
Acacia cuneifolia,AU,def_endemic,def_endemic
Acacia cupularis,AU,def_endemic,def_endemic
Acacia curranii,AU,def_endemic,def_endemic
Acacia curryana,AU,def_endemic,def_endemic
Acacia curvata,AU,def_endemic,def_endemic
Acacia cuspidifolia,AU,def_endemic,def_endemic
Acacia cuthbertsonii,AU,def_endemic,def_endemic
Acacia cyclocarpa,AU,def_endemic,def_endemic
Acacia cyclops,AU_ES_PT_TN_US_ZA,possible endemic--strange dist,likely_endemic
Acacia cylindrica,AU,def_endemic,def_endemic
Acacia cyperophylla,AU,def_endemic,def_endemic
Acacia dacrydioides,AU,def_endemic,def_endemic
Acacia dallachiana,AU,def_endemic,def_endemic
Acacia dangarensis,AU,def_endemic,def_endemic
Acacia daphnifolia,AU,def_endemic,def_endemic
Acacia daviesii,AU,def_endemic,def_endemic
Acacia daviesioides,AU,def_endemic,def_endemic
Acacia daweana,AU,def_endemic,def_endemic
Acacia dawsonii,AU,def_endemic,def_endemic
Acacia dealbata,AR_AU_BO_BR_CH_CL_CN_CO_DE_EC_ES_FR_GB_GE_GR_IE_IN_IT_JP_MA_MG_MZ_NZ_PT_RE_RU_US_UY_ZA,probable non-endemic--IN dist,probable non-endemic
Acacia deanei,AU,def_endemic,def_endemic
Acacia debilis,AU,def_endemic,def_endemic
Acacia declinata,AU,def_endemic,def_endemic
Acacia decora,AU,def_endemic,def_endemic
Acacia decurrens,AU_BR_CO_ES_FR_ID_JP_NC_NZ_US_ZA,probable non-endemic--NC dist,probable non-endemic
Acacia deficiens,AU,def_endemic,def_endemic
Acacia deflexa,AU,def_endemic,def_endemic
Acacia delibrata,AU,def_endemic,def_endemic
Acacia delicatula,AU,def_endemic,def_endemic
Acacia delphina,AU,def_endemic,def_endemic
Acacia deltoidea,AU,def_endemic,def_endemic
Acacia demissa,AU,def_endemic,def_endemic
Acacia dempsteri,AU,def_endemic,def_endemic
Acacia densiflora,AU,def_endemic,def_endemic
Acacia denticulosa,AU,def_endemic,def_endemic
Acacia dentifera,AU,def_endemic,def_endemic
Acacia depressa,AU,def_endemic,def_endemic
Acacia dermatophylla,AU,def_endemic,def_endemic
Acacia derwentiana,AU,def_endemic,def_endemic
Acacia desertorum,AU,def_endemic,def_endemic
Acacia desmondii,AU,def_endemic,def_endemic
Acacia deuteroneura,AU,def_endemic,def_endemic
Acacia diallaga,AU,def_endemic,def_endemic
Acacia diaphana,AU,def_endemic,def_endemic
Acacia diaphyllodinea,AU,def_endemic,def_endemic
Acacia diastemata,AU,def_endemic,def_endemic
Acacia dictyocarpa,AU,def_endemic,def_endemic
Acacia dictyoneura,AU,def_endemic,def_endemic
Acacia dictyophleba,AU,def_endemic,def_endemic
Acacia didyma,AU,def_endemic,def_endemic
Acacia dielsii,AU,def_endemic,def_endemic
Acacia dietrichiana,AU,def_endemic,def_endemic
Acacia difficilis,AU,def_endemic,def_endemic
Acacia difformis,AU,def_endemic,def_endemic
Acacia dilatata,AU,def_endemic,def_endemic
Acacia dilloniorum,AU,def_endemic,def_endemic
Acacia dimidiata,AU,def_endemic,def_endemic
Acacia diminuta,AU,def_endemic,def_endemic
Acacia dimorpha,AU,def_endemic,def_endemic
Acacia disparrima,AU_JP,likely_endemic,likely_endemic
Acacia dissimilis,AU,def_endemic,def_endemic
Acacia dissona,AU,def_endemic,def_endemic
Acacia distans,AU,def_endemic,def_endemic
Acacia disticha,AU,def_endemic,def_endemic
Acacia divergens,AU,def_endemic,def_endemic
Acacia dodonaeifolia,AU,def_endemic,def_endemic
Acacia dolichophylla,AU,def_endemic,def_endemic
Acacia donaldsonii,AU,def_endemic,def_endemic
Acacia doratoxylon,AU,def_endemic,def_endemic
Acacia doreta,AU,def_endemic,def_endemic
Acacia dorothea,AU,def_endemic,def_endemic
Acacia dorsenna,AU,def_endemic,def_endemic
Acacia drepanocarpa,AU,def_endemic,def_endemic
Acacia drepanophylla,AU,def_endemic,def_endemic
Acacia drewiana,AU,def_endemic,def_endemic
Acacia drummondii,AU,def_endemic,def_endemic
Acacia dunnii,AU,def_endemic,def_endemic
Acacia dura,AU,def_endemic,def_endemic
Acacia durabilis,AU,def_endemic,def_endemic
Acacia duriuscula,AU,def_endemic,def_endemic
Acacia echinula,AU,def_endemic,def_endemic
Acacia echinuliflora,AU,def_endemic,def_endemic
Acacia effusa,AU,def_endemic,def_endemic
Acacia effusifolia,AU,def_endemic,def_endemic
Acacia elachantha,AU,def_endemic,def_endemic
Acacia elata,AU_NZ_ZA,possible non-endemic--NZ dist,probable non-endemic
Acacia elongata,AU,def_endemic,def_endemic
Acacia empelioclada,AU,def_endemic,def_endemic
Acacia enervia,AU,def_endemic,def_endemic
Acacia ensifolia,AU,def_endemic,def_endemic
Acacia enterocarpa,AU,def_endemic,def_endemic
Acacia epacantha,AU,def_endemic,def_endemic
Acacia epedunculata,AU,def_endemic,def_endemic
Acacia ephedroides,AU,def_endemic,def_endemic
Acacia equisetifolia,AU,def_endemic,def_endemic
Acacia eremaea,AU,def_endemic,def_endemic
Acacia eremophila,AU,def_endemic,def_endemic
Acacia eremophiloides,AU,def_endemic,def_endemic
Acacia ericifolia,AU,def_endemic,def_endemic
Acacia ericksoniae,AU,def_endemic,def_endemic
Acacia erinacea,AU,def_endemic,def_endemic
Acacia erioclada,AU,def_endemic,def_endemic
Acacia eriopoda,AU,def_endemic,def_endemic
Acacia errabunda,AU,def_endemic,def_endemic
Acacia estrophiolata,AU,def_endemic,def_endemic
Acacia euthycarpa,AU,def_endemic,def_endemic
Acacia euthyphylla,AU,def_endemic,def_endemic
Acacia evenulosa,AU,def_endemic,def_endemic
Acacia everistii,AU,def_endemic,def_endemic
Acacia excelsa,AU,def_endemic,def_endemic
Acacia excentrica,AU,def_endemic,def_endemic
Acacia exigua,AU,def_endemic,def_endemic
Acacia exocarpoides,AU,def_endemic,def_endemic
Acacia extensa,AU,def_endemic,def_endemic
Acacia exudans,AU,def_endemic,def_endemic
Acacia fagonioides,AU,def_endemic,def_endemic
Acacia falcata,AU,def_endemic,def_endemic
Acacia falciformis,AU_GB_ZA,possible endemic--strange dist,likely_endemic
Acacia farinosa,AU,def_endemic,def_endemic
Acacia fasciculifera,AU,def_endemic,def_endemic
Acacia faucium,AU,def_endemic,def_endemic
Acacia fauntleroyi,AU,def_endemic,def_endemic
Acacia fecunda,AU,def_endemic,def_endemic
Acacia ferocior,AU,def_endemic,def_endemic
Acacia filamentosa,AU,def_endemic,def_endemic
Acacia filicifolia,AU,def_endemic,def_endemic
Acacia filifolia,AU,def_endemic,def_endemic
Acacia filipes,AU,def_endemic,def_endemic
Acacia fimbriata,AU_NZ,possible non-endemic--NZ dist,probable non-endemic
Acacia flabellifolia,AU,def_endemic,def_endemic
Acacia flagelliformis,AU,def_endemic,def_endemic
Acacia flavescens,AU,def_endemic,def_endemic
Acacia flavipila,AU,def_endemic,def_endemic
Acacia fleckeri,AU,def_endemic,def_endemic
Acacia flexifolia,AU,def_endemic,def_endemic
Acacia flocktoniae,AU,def_endemic,def_endemic
Acacia floribunda,AU_BR_JP_NZ,possible non-endemic--NZ dist,probable non-endemic
Acacia floydii,AU,def_endemic,def_endemic
Acacia fodinalis,AU,def_endemic,def_endemic
Acacia formidabilis,AU,def_endemic,def_endemic
Acacia forrestiana,AU,def_endemic,def_endemic
Acacia forsythii,AU,def_endemic,def_endemic
Acacia fragilis,AU,def_endemic,def_endemic
Acacia fraternalis,AU,def_endemic,def_endemic
Acacia frigescens,AU,def_endemic,def_endemic
Acacia froggattii,AU,def_endemic,def_endemic
Acacia fulva,AU,def_endemic,def_endemic
Acacia fuscaneura,AU,def_endemic,def_endemic
Acacia galeata,AU,def_endemic,def_endemic
Acacia galioides,AU,def_endemic,def_endemic
Acacia gardneri,AU,def_endemic,def_endemic
Acacia gelasina,AU,def_endemic,def_endemic
Acacia gemina,AU,def_endemic,def_endemic
Acacia genistifolia,AU_MX,likely_endemic,likely_endemic
Acacia georgensis,AU,def_endemic,def_endemic
Acacia georginae,AU,def_endemic,def_endemic
Acacia gibbosa,AU,def_endemic,def_endemic
Acacia gibsonii,AU,def_endemic,def_endemic
Acacia gilbertii,AU,def_endemic,def_endemic
Acacia gilesiana,AU,def_endemic,def_endemic
Acacia gillii,AU,def_endemic,def_endemic
Acacia gittinsii,AU,def_endemic,def_endemic
Acacia gladiiformis,AU,def_endemic,def_endemic
Acacia glandulicarpa,AU,def_endemic,def_endemic
Acacia glaucissima,AU,def_endemic,def_endemic
Acacia glaucocarpa,AU,def_endemic,def_endemic
Acacia glaucoptera,AU_CN,possible non-endemic--CN dist,probable non-endemic
Acacia gloeotricha,AU,def_endemic,def_endemic
Acacia glutinosissima,AU,def_endemic,def_endemic
Acacia gnidium,AU,def_endemic,def_endemic
Acacia gonocarpa,AU,def_endemic,def_endemic
Acacia gonoclada,AU,def_endemic,def_endemic
Acacia gonophylla,AU,def_endemic,def_endemic
Acacia gordonii,AU,def_endemic,def_endemic
Acacia gracilenta,AU,def_endemic,def_endemic
Acacia gracilifolia,AU,def_endemic,def_endemic
Acacia graciliformis,AU,def_endemic,def_endemic
Acacia grandifolia,AU,def_endemic,def_endemic
Acacia granitica,AU,def_endemic,def_endemic
Acacia graniticola,AU,def_endemic,def_endemic
Acacia grasbyi,AU,def_endemic,def_endemic
Acacia gregorii,AU,def_endemic,def_endemic
Acacia grisea,AU,def_endemic,def_endemic
Acacia guinetii,AU,def_endemic,def_endemic
Acacia gunnii,AU,def_endemic,def_endemic
Acacia guymeri,AU,def_endemic,def_endemic
Acacia hadrophylla,AU,def_endemic,def_endemic
Acacia haematites,AU,def_endemic,def_endemic
Acacia hakeoides,AU,def_endemic,def_endemic
Acacia halliana,AU,def_endemic,def_endemic
Acacia hamersleyensis,AU,def_endemic,def_endemic
Acacia hamiltoniana,AU_BJ,likely_endemic,likely_endemic
Acacia hammondii,AU,def_endemic,def_endemic
Acacia handonis,AU,def_endemic,def_endemic
Acacia harpophylla,AU,def_endemic,def_endemic
Acacia harveyi,AU,def_endemic,def_endemic
Acacia hastulata,AU,def_endemic,def_endemic
Acacia havilandiorum,AU,def_endemic,def_endemic
Acacia helicophylla,AU,def_endemic,def_endemic
Acacia helmsiana,AU,def_endemic,def_endemic
Acacia hemignosta,AU,def_endemic,def_endemic
Acacia hemiteles,AU,def_endemic,def_endemic
Acacia hemsleyi,AU,def_endemic,def_endemic
Acacia hendersonii,AU,def_endemic,def_endemic
Acacia heterochroa,AU,def_endemic,def_endemic
Acacia heteroclita,AU,def_endemic,def_endemic
Acacia heteroneura,AU,def_endemic,def_endemic
Acacia hexaneura,AU,def_endemic,def_endemic
Acacia hilliana,AU,def_endemic,def_endemic
Acacia hippuroides,AU,def_endemic,def_endemic
Acacia hispidula,AU,def_endemic,def_endemic
Acacia hockingsii,AU,def_endemic,def_endemic
Acacia holosericea,AU_PG,probable non-endemic--PG dist,probable non-endemic
Acacia holotricha,AU,def_endemic,def_endemic
Acacia homaloclada,AU,def_endemic,def_endemic
Acacia hopperiana,AU,def_endemic,def_endemic
Acacia horridula,AU,def_endemic,def_endemic
Acacia howittii,AU,def_endemic,def_endemic
Acacia hubbardiana,AU,def_endemic,def_endemic
Acacia huegelii,AU_MX,likely_endemic,likely_endemic
Acacia humifusa,AU,def_endemic,def_endemic
Acacia hyaloneura,AU,def_endemic,def_endemic
Acacia hylonoma,AU,def_endemic,def_endemic
Acacia hypermeces,AU,def_endemic,def_endemic
Acacia hystrix,AU,def_endemic,def_endemic
Acacia idiomorpha,AU,def_endemic,def_endemic
Acacia imbricata,AU,def_endemic,def_endemic
Acacia imitans,AU,def_endemic,def_endemic
Acacia imparilis,AU,def_endemic,def_endemic
Acacia implexa,AU,def_endemic,def_endemic
